# HAN (c) Todt
ID	WCFS1.glc.1	WCFS1.glc.2	WCFS1.rib.1	WCFS1.rib.2
lp_0001	8100	9599	8144	7000
lp_0002	12679	15856	11539	11049
lp_0004	1795	1946	1470	1607
lp_0005	8538	8740	5699	7402
lp_0009	56040	42130	31941	23500
lp_0010	105615	90094	60086	52584
lp_0011	68724	63725	37616	37478
lp_0012	6956	7088	6693	7813
lp_0013	3968	3834	3215	4480
lp_0014	5029	4999	3983	4605
lp_0015	341	246	277	306
lp_0016	883	737	604	856
lp_0017	1546	1598	1217	1621
lp_0018	186	171	305	386
lp_0022	45	51	71	89
lp_0026	1248	1592	1549	1727
lp_0027	226	428	391	460
lp_0036	3684	4344	3041	3724
lp_0037	6402	6833	5198	5631
lp_0038	4327	4358	2923	3216
lp_0039	3073	3098	1788	2096
lp_0041	2912	2329	2743	3263
lp_0043	4982	4921	4781	4939
lp_0046	248	257	294	232
lp_0047	144	97	87	81
lp_0048	284	230	259	308
lp_0050	276	260	273	235
lp_0052	444	410	410	452
lp_0053	3998	4447	1734	1730
lp_0057	478	526	606	719
lp_0058	114	158	993	1219
lp_0059	84	73	191	122
lp_0060	15	26	26	48
lp_0061	75	63	64	110
lp_0062	49	52	65	89
lp_0063	27	23	581	612
lp_0066	277	334	330	292
lp_0068	488	611	482	511
lp_0070	441	487	940	970
lp_0073	653	762	473	557
lp_0075	59	74	48	78
lp_0076	1058	964	908	1086
lp_0077	651	679	512	592
lp_0078	378	451	376	400
lp_0080	345	358	259	267
lp_0081	418	502	510	644
lp_0082	95	74	161	88
lp_0083	223	298	285	313
lp_0085	414	481	651	609
lp_0088	220	247	226	242
lp_0089	759	1018	761	903
lp_0091	1233	1530	993	1478
lp_0092	463	533	612	617
lp_0096	65	50	339	462
lp_0098	105	165	497	497
lp_0099	1590	1752	1630	815
lp_0100	2886	3339	2678	2293
lp_0101	621	510	244	189
lp_0102	859	894	352	296
lp_0103	712	612	362	233
lp_0104	293	320	60	58
lp_0105	107	123	25	30
lp_0106	112	134	19	20
lp_0107	129	156	25	27
lp_0108	45	50	18	8
lp_0109	128	222	56	56
lp_0111	1750	2269	2263	3019
lp_0113	128	117	629	866
lp_0114	275	263	1145	1598
lp_0115	212	237	977	1229
lp_0116	436	411	1778	2383
lp_0117	670	683	691	969
lp_0118	1157	1436	2733	2871
lp_0119	821	1148	1110	1327
lp_0120	5180	5720	4919	5355
lp_0121	753	830	696	921
lp_0122	838	868	856	1100
lp_0124	8454	8457	6763	6536
lp_0126	5799	6247	7738	4880
lp_0127	193	200	200	171
lp_0128	269	304	284	251
lp_0129	411	485	440	438
lp_0130	13	10	14	11
lp_0132	791	782	563	707
lp_0133	366	322	231	408
lp_0134	481	377	319	425
lp_0136	60	57	49	99
lp_0137	819	821	1300	1453
lp_0138	2478	2602	1206	1277
lp_0139	8024	9214	25338	24536
lp_0141	20	28	14	22
lp_0145	1579	1954	897	794
lp_0146	358	497	279	253
lp_0148	1233	1410	1103	929
lp_0149	3060	3662	2677	2721
lp_0150	507	580	450	372
lp_0152	1165	1209	955	1184
lp_0154	35	24	56	131
lp_0155	24	14	88	218
lp_0156	26	29	261	354
lp_0158	650	611	610	909
lp_0159	336	257	243	320
lp_0160	147	132	126	186
lp_0161	184	176	161	179
lp_0162	399	354	257	419
lp_0163	1104	963	883	1225
lp_0164	2222	2954	1628	1632
lp_0165	97	115	117	115
lp_0166	502	644	564	583
lp_0168	1648	1764	1932	2355
lp_0169	1346	1351	1481	2161
lp_0170	602	616	735	800
lp_0171	1298	1286	1583	2012
lp_0172	302	272	602	740
lp_0173	213	289	617	731
lp_0174	493	649	1286	1406
lp_0175	412	520	1387	1518
lp_0176	30	38	157	191
lp_0177	23	32	70	73
lp_0178	58	68	177	201
lp_0179	87	103	241	250
lp_0183	3586	4056	3186	2708
lp_0184	186	292	710	699
lp_0185	216	248	300	307
lp_0187	226	268	197	168
lp_0188	468	482	498	495
lp_0190	1232	1380	793	744
lp_0192	1055	1034	591	555
lp_0194	693	707	571	540
lp_0197	1841	1649	1789	2713
lp_0199	1511	1622	1564	1567
lp_0202	127	190	94	125
lp_0203	355	433	217	295
lp_0204	229	215	161	133
lp_0205	294	344	345	450
lp_0206	2409	2960	4620	4776
lp_0207	601	631	619	616
lp_0208	620	816	406	491
lp_0209	1760	2219	1116	1240
lp_0210	4161	4095	344	382
lp_0213	367	415	78	83
lp_0214	428	497	112	114
lp_0215	1124	1141	496	550
lp_0217	404	471	1132	940
lp_0218	1472	1639	3663	3642
lp_0219	522	511	1442	1507
lp_0220	891	989	1085	1294
lp_0221	1025	1197	1382	1524
lp_0223	478	514	580	666
lp_0224	158	168	229	302
lp_0225	175	149	158	233
lp_0226	1411	1526	2625	4058
lp_0228	1630	2363	2886	3818
lp_0230	151	178	179	145
lp_0231	564	667	1393	1507
lp_0232	212	188	626	594
lp_0233	648	703	1937	2068
lp_0235	2187	2960	2683	2947
lp_0236	754	725	530	561
lp_0239	1890	2329	500	493
lp_0240	33	41	718	765
lp_0242	87	125	1670	1954
lp_0243	1148	1328	1156	1176
lp_0244	493	534	389	353
lp_0254	97	131	74	67
lp_0255	286	376	158	195
lp_0256	127	155	67	107
lp_0257	4178	4471	3313	3397
lp_0259	1365	1316	394	411
lp_0260	38	36	34	79
lp_0261	17	12	27	33
lp_0262	2289	1827	18	26
lp_0263	1442	1370	25	59
lp_0266	281	314	302	385
lp_0271	670	640	342	316
lp_0272	774	839	403	438
lp_0273	195	239	251	240
lp_0274	511	398	261	266
lp_0275	4244	3832	1882	2247
lp_0276	37	45	36	26
lp_0277	18	24	17	19
lp_0279	8	6	12	4
lp_0280	30	44	40	24
lp_0281	184	178	150	158
lp_0282	876	1256	1293	1750
lp_0283	211	293	361	409
lp_0284	310	357	469	520
lp_0285	422	378	812	847
lp_0286	774	997	10097	10852
lp_0287	1523	2093	1320	1878
lp_0289	6	11	57	62
lp_0290	102	104	84	99
lp_0291	404	413	588	740
lp_0292	1558	1704	1015	1121
lp_0293	1927	1836	1332	1281
lp_0294	278	333	319	319
lp_0295	4125	4086	2832	2696
lp_0296	879	1065	738	1082
lp_0298	39	43	16	12
lp_0299	39	48	30	25
lp_0300	186	212	252	300
lp_0301	350	376	259	441
lp_0302	5627	5722	2960	2627
lp_0304	5870	5833	6593	6359
lp_0305	557	637	422	582
lp_0306	1060	1146	935	1092
lp_0307	869	932	775	984
lp_0308	1447	1581	1409	1655
lp_0310	960	927	18108	18980
lp_0311	228	230	72	66
lp_0312	418	227	220	157
lp_0313	6661	6373	5410	8322
lp_0314	47	85	57	52
lp_0315	2318	2625	2175	2059
lp_0316	1311	1462	1201	1162
lp_0317	2048	2231	2057	2138
lp_0318	1842	2064	1780	2095
lp_0319	670	681	704	743
lp_0320	2270	3087	7000	8036
lp_0321	1004	1062	740	842
lp_0322	2003	2270	1409	1811
lp_0324	1495	989	1283	621
lp_0325	2234	2063	594	680
lp_0326	3973	3593	1426	1410
lp_0327	1855	1509	717	639
lp_0329	2062	2369	153	208
lp_0330	113192	135182	104334	104613
lp_0331	2485	3049	3661	3367
lp_0332	2887	3624	3190	3568
lp_0333	2333	3059	1969	3208
lp_0334	5523	6406	12983	12694
lp_0335	2744	3212	4064	4114
lp_0336	87	45	70	98
lp_0337	204	190	182	276
lp_0339	535	581	508	659
lp_0340	1830	1878	1534	1513
lp_0343	4786	4939	2765	2234
lp_0344	8025	8554	5075	4405
lp_0346	1	4	10	2
lp_0347	300	271	175	278
lp_0348	722	720	543	607
lp_0349	4141	4366	229	164
lp_0350	37	28	28	32
lp_0351	1505	1813	1334	1059
lp_0353	30	34	21	21
lp_0354	537	658	576	684
lp_0357	593	586	480	432
lp_0358	1116	1382	1334	1403
lp_0359	776	1001	755	792
lp_0360	655	729	551	754
lp_0361	569	668	497	452
lp_0362	5754	6718	3447	3824
lp_0363	3719	5139	6767	8353
lp_0364	796	832	1159	1637
lp_0367	1698	1869	2875	3970
lp_0368	1651	1726	2500	3326
lp_0369	3876	4646	6472	7765
lp_0371	134	162	6893	6796
lp_0372	13	27	966	1002
lp_0373	70	38	59	73
lp_0423	1487	744	26	50
lp_0432	4378	5221	5241	5789
lp_0433	77	128	135	137
lp_0434	3200	3744	3028	2825
lp_0435	260	212	324	475
lp_0436	117	146	521	565
lp_0438	37	50	188	196
lp_0439	24	31	80	77
lp_0441	154	109	138	174
lp_0442	627	553	704	698
lp_0443	2134	2539	2303	2411
lp_0446	926	972	877	1089
lp_0447	1710	1611	1624	1802
lp_0448	2241	2035	2102	2488
lp_0449	1338	1306	1242	1458
lp_0450	1238	1305	984	1240
lp_0452	281	263	153	191
lp_0454	16592	17402	14287	16453
lp_0455	680	607	471	434
lp_0456	2107	2646	1904	2443
lp_0457	1989	2372	1857	2002
lp_0458	2940	3225	2387	2518
lp_0459	6949	8489	7035	4860
lp_0460	1749	1745	1335	1557
lp_0461	990	1070	944	1197
lp_0463	998	1046	873	812
lp_0464	773	823	600	661
lp_0466	925	668	442	507
lp_0467	8252	8287	6289	6342
lp_0469	271	200	167	232
lp_0471	21429	21852	15914	15894
lp_0472	966	1147	3122	3114
lp_0473	3471	4176	4845	4601
lp_0475	2513	3259	2688	2970
lp_0476	3348	4299	3810	4164
lp_0477	1390	1720	1679	1749
lp_0479	1480	1705	1195	1527
lp_0480	14049	15487	11205	11430
lp_0481	14835	17036	11676	13789
lp_0502	357	259	1152	1299
lp_0505	534	455	1003	1408
lp_0506	383	256	675	944
lp_0507	423	377	868	950
lp_0509	155	153	311	306
lp_0510	9408	9604	7132	7210
lp_0511	11314	11533	7232	7018
lp_0512	18322	21190	9955	5646
lp_0513	339	511	617	870
lp_0514	768	687	467	626
lp_0515	4229	4585	3733	3826
lp_0516	3224	3173	2857	3338
lp_0517	3927	3911	3555	3829
lp_0518	8101	8563	6823	6850
lp_0520	52889	58849	17170	14026
